cntry_code,mso_name,mso_name_cn
HK,ARUBA TRANSFER (HK) LIMITED,
HK,ASIA ONE FOREIGN EXCHANGE AND REMITTANCE LIMITED,亞滙找換匯款有限公司
HK,ASIA TRANSPAY (HK) LIMITED,
HK,ASIA UNION FINANCIAL (HK) LIMITED,亞聯金融(香港)有限公司
HK,ASIABILL COMPANY LIMITED,
HK,ASPAC REMITTANCE LIMITED,
HK,AT SERVICES LIMITED,
HK,ATLANTIC PARTNERS ASIA PS LIMITED,
HK,AURELIA LIMITED,
HK,AZIMO HONG KONG LIMITED,
HK,BACCARAT HK TRADING LIMITED,百樂滙香港貿易有限公司
HK,BAI QIAN INTERNATIONAL LIMITED,佰錢國際有限公司
HK,BANCKA LIMITED,百家有限公司
HK,BCA FINANCE LIMITED,中亞財務有限公司
HK,BDO REMIT LIMITED,
HK,BEAUTIFUL WORLD LIMITED,樂有限公司
HK,BEEPAY LIMITED,
HK,BERKERLIN TECHNOLOGY COMPANY LIMITED,貝克林科技有限公司
HK,BERLIN COMPANY EXCHANGE LIMITED,百年找換有限公司
HK,BEST SUCCESS CORPORATION LIMITED TRADING AS METRO FOREIGN EXCHANGE,利成興業有限公司
HK,BEST SUN TRADING LIMITED,佳逸貿易有限公司
HK,BHF HONG KONG LIMITED,
HK,BINDO LABS LIMITED,
HK,BMC FOREX LIMITED,
HK,BNI REMITTANCE LIMITED,
HK,BO WUI TECHNOLOGY LIMITED TRADING AS BAO YING MONEY EXCHANGE,寶匯科技有限公司 營業名稱 寶盈找換
HK,BOKU NETWORK SERVICES HK LIMITED,
HK,BONG LEI YUNG TRADING AS BAN DUNG,黃麗容 營業名稱 萬隆
HK,BONG TET SEN TRADING AS AMIN REMITTANCE,王德星
HK,BPI REMITTANCE CENTRE (HK) LTD,
HK,BRDGEPAY (H.K) PRIVATE LIMITED,合眾私人有限公司
HK,BRI REMITTANCE COMPANY LIMITED TRADING AS BRI REMITTANCE,
HK,BRIDGEHARBOUR (HK) MANAGEMENT SERVICE COMPANY LIMITED,樂力(香港)管理服務有限公司
HK,"BROTHERS FOREIGN CURRENCY EXCHANGE CO., LIMITED",兄弟外幣兌換有限公司
HK,BT CAPITAL LIMITED TRADING AS BT EXCHANGE,寶通資本有限公司 營業名稱 寶通找換
HK,BTR EXCHANGE LIMITED,
HK,BUNG TJIU KIAN TRADING AS TOKO INDONESIA,翁秋娟 營業名稱 康記
HK,"CADANO, ARIEL DOROTEO TRADING AS EMK TRADING COMPANY",
HK,CALSONS REMITTANCE,
HK,CAMEL SUPPLY CHAIN MANAGEMENT (ASIA) LIMITED,駱駝供應鏈管理亞洲有限公司
HK,CAPITAL EXCHANGE LIMITED,
HK,CARDUP HK LIMITED,
HK,CASHMALLOW HONG KONG LIMITED,
HK,CASSON HONG MONEY EXCHANGE LIMITED TRADING AS HING YIP MONEY EXCHANGE COMPANY,加誠行找換有限公司 營業名稱 興業找換公司
HK,CENTRAL ASIA EXCHANGE LIMITED,
HK,CEO MONEY EXCHANGE LIMITED,環滙找換有限公司
HK,"CHAN CRISTINA TRADING AS HONG KONG DECHENG CO,",陳宣頤 營業名稱 香港德盛公司
HK,CHAN HEUNG LAM TRADING AS WAI HONG EXCHANGE,陳香琳 營業名稱 瑋航找換
HK,CHAN ING MOI TRADING AS WARUNG JATIM,陳映梅 營業名稱 亞熱帶食品公司
HK,CHAN KWAI MAN TRADING AS ELITE CURRENCY EXCHANGE,陳桂文 營業名稱 億利找換店
HK,CHAN KWUN KAU KAUMAN TRADING AS FU YU INVESTMENT MANAGEMENT CO,陳冠球 營業名稱 富譽投資管理公司
HK,CHAN MUN TONG TRADING AS GAM WO EXCHANGE,陳滿棠 營業名稱 金禾找換
HK,CHAN PIK YU TRADING AS MOST LUCKY COMPANY,陳碧如 營業名稱 展祥公司
HK,CHAN PING HUEN,陳炳煊 營業名稱 利豐肉食公司
HK,CHAN SIN CHEUNG TRADING AS ON SANG TRADING COMPANY,陳善璋 營業名稱 安生貿易公司
HK,CHAN SUET CHING TRADING AS TOKO GEMBIRA INDONESIA,陳雪清 營業名稱 金利拿印尼商店
HK,CHAN WAI CHUNG TRADING AS WAH WUI MONEY EXCHANGE CO.,陳偉聰 營業名稱 華匯人民幣找換行
HK,CHAN WAI PING TRADING AS NEW KAM YUEN RENMINBI EXCHANGE,陳惠萍 營業名稱 新金源人民幣找換店
HK,CHAN YIM TRADING AS FU HONG FOREIGN EXCHANGE CO,陳艷 營業名稱 富康找換公司
HK,CHAN ZI SHAN TRADING AS SOUTH EAST ASIA PRODUCT CO.,陳泗山
HK,CHAU YUEN YUEN,周圓園 營業名稱 億富人民幣找換行
HK,CHECKOUT LIMITED,
HK,CHEN CHUNHONG,陳春虹 營業名稱 滙通人民幣找換公司
HK,CHEN HONGMEI,陳紅美 營業名稱 联丰兌換店
HK,CHEN PUBA TRADING AS KWOK HING RENMINBE EXCHANGE SHOP,陳普八 營業名稱 國興人民幣找換行
HK,CHEN YAN TRADING AS TAT SHUN MONEY EXCHANGE,陳燕 營業名稱 達信找換店
HK,CHENG CHAK KAM TRADING AS KAM WUI RENMINBI EXCHANGE CO.,鄭澤金 營業名稱 金匯人民幣找換行
HK,CHENG CHAK LAM TRADING AS KINYING RENMINBI EXCHANGE CO.,鄭澤林 營業名稱 金英人民幣找換行
HK,CHENG LIZHEN TRADING AS ZHONG GANG CHENG MONEY EXCHANGE CO,成麗貞 營業名稱 中港成人民幣找換公司
HK,CHEUNG CHONG LIMITED TRADING AS CHEUNG CHONG MONEY EXCHANGE,祥莊有限公司 營業名稱 祥莊找換店
HK,CHEUNG HIN SING TRADING AS SMART EXCHANGE,張顯星 營業名稱 星滙找換
HK,CHEUNG MAN FU TRADING AS WUI HING LONG CO,張文富 營業名稱 滙興隆公司
HK,CHEUNG MIN BIU TRADING AS CONCENTRIC MONEY EXCHANGE,張棉標 營業名稱 同心找換店
HK,CHEUNG MING YUEN TRADING AS PROGRESS EXCHANGE COMPANY,張銘源 營業名稱 冠升找換行
HK,CHEUNG SIN YAN,張倩欣 營業名稱 華南找換店
HK,CHEUNG SUI LUN TRADING AS YUK WAH COMPANY,張瑞麟 營業名稱 昱華公司
HK,CHEUNG TIM HO,張添豪 營業名稱 東源東南亞市場
HK,CHEUNG TUNG YUNG TRADING AS KIM YUET MONEY EXCHANGE,張冬蓉 營業名稱 金悅找換店
HK,"CHINAPAY E-PAYMENT SERVICE (HONGKONG) CO., LIMITED",銀聯電子支付服務(香港)有限公司
HK,CHIU LAI HUNG,趙麗紅 營業名稱 長興匯款找換公司
HK,CHOI HING CHUNG TRADING AS WING FUNG MONEY EXCHANGE COMPANY,蔡慶忠 營業名稱 永丰找換公司
HK,CHOI MING YUNG TRADING AS KONG WUI EXCHANGE,蔡明蓉 營業名稱 港滙找換
HK,CHONG CHOK MUI TRADING AS KA WAN MONEY EXCHANGE SHOP,莊作梅 營業名稱 嘉運兌換店
HK,CHONG MAN CHI TRADING AS TAK SHING CURRENCY EXCHANGE,莊萬芝 營業名稱 德成找換店
HK,CHONG YIM,庄艷 營業名稱 航天人民幣找換匯款
HK,CHOW CHI WAH TRADING AS NGAN FUNG MONEY EXCHANGE COMPANY,周志華 營業名稱 銀豐找換公司
HK,CHOW SIU LING LOUISA TRADING AS HUIXIN EXCHANGE COMPANY,周少玲 營業名稱 匯信中港找換行
HK,CHU HARTONO TRADING AS TOKO GARUDA JAYA,朱偉宏
HK,CHU PARKSON CHEUK CHAU TRADING AS CHINA &#38; HK RENMINBI EXCHANGE COMPANY,朱卓洲 營業名稱 滙通中港人民幣找換行
HK,CHU WAI KIT TRADING AS TOKO MAWAR,朱偉傑 營業名稱 發成糧油雜貨
HK,CHU YONGWEI TRADING AS WINTONE EXCHANGE COMPANY,褚永煒 營業名稱 永通找換公司
HK,CHUCKING INVESTMENTS LIMITED,超記匯財有限公司
HK,CHUN ONE TRADING LIMITED TRADING AS DOR FORTUNE EXCHANGE,俊一貿易有限公司 營業名稱 多福兌換
HK,CHUN YICK FINANCE LIMITED,駿億金融有限公司
HK,CHUNG FAT REMINBI EXCHANGE CO.,中發人民幣找換店
HK,CHUNG HAI EXCHANGE LIMITED,中海找換有限公司
HK,CHUNG SHUN (HONG KONG) FOREIGN EXCHANGE LIMITED,中信(香港)外幣找換有限公司
HK,CHUNG SHUN EXCHANGE COMPANY LIMITED,中信找換有限公司
HK,CITI EXPRESS PAYMENT (HK) LIMITED,
HK,CITY FOREIGN EXCHANGE LIMITED,
HK,CITY WIN INTERNATIONAL TRADE LIMITED,港成國際貿易有限公司
HK,CNHK RICH LIMITED,中港合盛有限公司 營業名稱 囍滙找換
HK,CNPAY GLOBAL COMPANY LIMITED,
HK,COM PO MONEY EXCHANGE COMPANY LIMITED,金寶找換有限公司
HK,COMMERCIAL SERVICES LIMITED,商業策略有限公司
HK,CRAZY BIRD (HK) LIMITED,飛鳥外幣找換店有限公司
HK,CREDORAX HONG KONG LIMITED,
HK,CROSSTON FOR INTERNATIONAL LIMITED,跨世通網路科技有限公司
HK,"CTRIP FINANCIAL INFORMATION (HONG KONG) CO., LIMITED",攜程金融信息(香港)有限公司
HK,CURFEX (HK) LIMITED,
HK,CURRENCYFAIR LIMITED,
HK,CURRENXIE LIMITED,
HK,CZARINA REMITTANCE COMPANY LIMITED,
HK,DAHSHING MONEY EXCHANGE LIMITED,大成找換有限公司
HK,DAI TONG EXCHANGE LIMITED TRADING AS DAI FUNG REMIT EXCHANGE,大通匯款找換有限公司 營業名稱 大豐匯款找換
HK,DAILY WELL CORPORATION LIMITED,佳日興業有限公司
HK,DAMRICH EXCHANGE LIMITED,
HK,DARUMA LIMITED TRADING AS DONKIFX,達摩有限公司 營業名稱 激安の両替
HK,DE JESUS LEONARD SABA TRADING AS H&#38;L,
HK,DELTA ASIA CAPITAL LIMITED,滙業財富有限公司
HK,DENG MEI QIONG TRADING AS GONG SING FOREIGN EXCHANGE CO.,鄧梅琼 營業名稱 港陞外幣找換行
HK,DES MONEY SERVICE LIMITED,焯然金錢服務有限公司
HK,DESTINATION CURRENCY CONVERSION (HK) LIMITED,目的地貨幣兌換(香港)有限公司
HK,DIGITAL FOREX LIMITED,
HK,DIGITAL PAY SOLUTIONS LIMITED,數碼支付有限公司
HK,DJAP SIU CHIN TRADING AS JKM CHRISTY SHOP,葉少菁
HK,DOLLARSMART GLOBAL PTE. LTD. TRADING AS HKDSMART,
HK,DPK REMITTANCE LIMITED,
HK,DUNHUANG HOLDINGS LIMITED,
HK,E-ECONOMY INTERNATIONAL LIMITED,滙創集團控股有限公司
HK,E88 LIMITED TRADING AS E88 MONEY EXCHANGE,E88 找換店
HK,EARTHREMIT LIMITED TRADING AS EARTHREMIT,環球盛匯有限公司 營業名稱 環球盛匯
HK,EAST SENSE INVESTMENTS LIMITED TRADING AS CHINA BILLION RMB REMITTANCE COMPANY,英昇投資有限公司 營業名稱 中匯人民幣匯款公司
HK,EASTERN UNION INTERNATIONAL LIMITED,東聯國際股份有限公司
HK,EASTERN WIRES (HK) LIMITED,
HK,"EASY PAY INTERNATIONAL INVESTMENT CO., LIMITED",易貝國際投資有限公司
HK,EASYEURO FINANCIAL SERVICES LIMITED,易歐金融服務有限公司
HK,"EASYLINK PAYMENT NETWORK (HONGKONG) COMPANY, LIMITED",好易聯支付網絡(香港)有限公司
HK,EASYPASSCORP LIMITED TRADING AS CHINA &#38; HK RENMINBI EXCHANGE,匯通企業有限公司 營業名稱 匯通中港人民幣找換行
HK,EBURY PARTNERS HONG KONG LIMITED,
HK,ECOM CENTER LIMITED,
HK,ELINK COMMERCE COMPANY LIMITED,壹滙智商務有限公司
HK,ELITE BRIGHT LIMITED,東光有限公司
HK,EMQ LIMITED,
HK,ENETT INTERNATIONAL (SINGAPORE) PTE. LTD.,
HK,EPAY LIMITED,易派有限公司
HK,ETERNAL PROCEEDS LIMITED,恒永利有限公司
HK,EU SE LOI TRADING AS STAR MARKET INDONESIA,歐細萊 營業名稱 富萊印尼店
HK,EVER TOPRICH LIMITED TRADING AS EVER TOPRICH MONEY EXCHANGE COMPANY,永裕達有限公司 營業名稱 永裕達找換公司
HK,EVERPRO HOLDINGS LIMITED,永尚集團有限公司
HK,EVERWEALTH EXCHANGE COMPANY LIMITED,恒昌兌換有限公司
HK,EVERWIN REMITTANCE AND EXCHANGE CO LIMITED,恆信匯兌有限公司
HK,EVERY SUCCESS INTERNATIONAL COMPANY LIMITED TRADING AS FS GLOBAL CURRENCY EXCHANGE AND REMITTANCE,百成找換有限公司 營業名稱 福誠找換匯款
HK,EVONET GLOBAL CORPORATION LIMITED,
HK,EXCELLENCE (CHINA) TRADING LIMITED,卓越(中國)貿易有限公司
HK,EXCELLENCE FULL LIMITED,優全有限公司
HK,EXCHANGE EXPRESS LIMITED,滙通找換有限公司
HK,EXCHANGERS HK LIMITED TRADING AS EXCHANGERS,
HK,EXPRESS EXCHANGE (HK) LIMITED TRADING AS EXPRESSEX,捷匯找換(香港)有限公司 營業名稱 捷匯外幣兌換
HK,EXPRESS EXCHANGE COMPANY LIMITED TRADING AS EXPRESS EXCHANGE,捷匯找換有限公司 營業名稱 捷匯找換
HK,EXPRO LIMITED,極博有限公司
HK,FANG SI QI IVAN TRADING AS HING WAH CURRENCY EXCHANGE CO,方思淇 營業名稱 興華找換公司
HK,FAR EAST MONEY EXCHANGE LIMITED,遠東找換有限公司
HK,FAST ACCESS CORPORATION LIMITED TRADING AS SURYA JAYA EXPRESS,快通有限公司
HK,"FINANCIAL INVESTMENT (HK) CO., LIMITED",財源投資(香港)有限公司
HK,FINANCIAL QUOTIENT SERVICES LIMITED,
HK,FIRST INTERNATIONAL RESOURCES LIMITED,第一國際資源有限公司
HK,FIRST SYSTEM (CHINA) TRADING LIMITED,中匯誠貿易有限公司
HK,FLEXAGON LIMITED,萬利宮有限公司
HK,"FOCUS GLOBAL SOURCING SERVICES CO., LIMITED",焦點環球採購服務有限公司
HK,FOND LIMITED TRADING AS FOND EXCHANGE,福安環球有限公司 營業名稱 福安找換
HK,FONG PUI CHUNG TRADING AS HING WAH COINS,方培聰 營業名稱 興華錢幣
HK,FOREVER CURRENCY EXCHANGE LIMITED,永信外幣找換有限公司
HK,FOREVER MORE COMPANY,永新公司
HK,FORTUNE HK MONEY EXCHANGE LIMITED,幸匯找換有限公司
HK,FU CHUEN SAU TRADING AS GOOD LUCK REMINBI EXCHANGE,符傳壽 營業名稱 好運人民幣找換店
HK,FU ON GROUP HOLDINGS CO LIMITED TRADING AS KWOK HING RMB EXCHANGE CO.,富安集團控股有限公司 營業名稱 國興人民幣找換行
HK,FU WENHUA TRADING AS TAT TUNG MONEY EXCHANGE CO.,付文化 營業名稱 達通找換店
HK,FUNG KA MAN TRADING AS RITA SHOP,馮家文
HK,FUNG KWUN KUEN TRADING AS BEST WAY,馮冠權 營業名稱 榮信貿易公司
HK,FUNG SHU KIT TRADING AS QUICKCINDA MONEY EXCHANGE,馮樹杰 營業名稱 速信達人民幣找換
HK,FUNG TAK MONEYTT LIMITED,豐達特快匯款有限公司
HK,FUTURE FINTECH INTERNATIONAL COMPANY LIMITED,
HK,"FUYAU INVESTMENT MANAGEMENT (HONG KONG) CO., LIMITED",富佑投資管理(香港)有限公司
HK,G2A.COM LIMITED,
HK,GAIN GOLD ASIA LIMITED,盈金亞洲有限公司
HK,GALAXY NETWORK LIMITED,
HK,GCC EXCHANGE PRIVATE LIMITED,
HK,GEA LIMITED,
HK,GEOSWIFT PAYMENT TECHNOLOGY LIMITED,匯元通支付科技有限公司
HK,GEOSWIFT SOLUTION LIMITED,匯元通金融服務有限公司
HK,GET PAID HK LIMITED,
HK,GLOBAL E-PAYMENT LIMITED,
HK,GLOBAL EXCHANGE HONG KONG LIMITED,
HK,GLOBAL PAYMENT E-COMMERCE LIMITED,環球通匯電子商務有限公司
HK,"GLOBAL WEALTH TRADING CO., LIMITED TRADING AS GLOBAL WEALTH EXCHANGE",環盛貿易有限公司 營業名稱 環盛找換
HK,GLOBAL WISE PAYMENT LIMITED,智財滙支付有限公司
HK,GLOBAL WISE SOLUTIONS LIMITED,
HK,GLOBAL-HK SOLUTIONS LIMITED,環聯支付有限公司
HK,GLOBE ACCESS LIMITED,全球通有限公司
HK,GLOBENET DROID LIMITED,
HK,GLOCASH PAYMENT HK LIMITED,
HK,GLOFORTUNE COMPANY LIMITED,智富恒通有限公司
HK,GME LIMITED,惠捷找換有限公司
HK,GO EXCHANGE LIMITED,去唱錢有限公司
HK,GOGOTRANX HONG KONG LIMITED,酷轉香港有限公司
HK,GOLD ACCESS HK LIMITED,
HK,GOLD TOWN INVESTMENT LIMITED TRADING AS GOLD TOWN MONEY CHANGE,金塘匯投資有限公司 營業名稱 金塘匯找換店
HK,"GOLDEN CREDIT INVESTMENT DEVELOPMENT (HK) CO., LIMITED",金信投資發展(香港)有限公司
HK,GOLDEN TRIPOD UNITED INTERNATIONAL COMPANY LIMITED,金鼎匯國際有限公司
HK,GOOD DEVELOPMENT LIMITED TRADING AS TOKO BANG YAU,佳廣發展有限公司
HK,GOOD MEGA INVESTMENT LIMITED,佳佰投資有限公司 營業名稱 裕豐人民幣找換匯款
HK,GOOD YIELD DEVELOPMENT LIMITED,益廣發展有限公司
HK,GOTAI HOLDINGS LIMITED,國泰找換錢有限公司
HK,GPL REMITTANCE HONG KONG LIMITED,
HK,GRAND COME LIMITED,廣臨有限公司
HK,GRANDEUR RMS LIMITED,國睿匯通有限公司
HK,GRANDRAY INTERNATIONAL LIMITED,鈞輝國際有限公司
HK,GREAT HONESTLY INTERNATIONAL INVESTMENT LIMITED TRADING AS GREAT LOYALTY MONEY EXCHANGE,寶誠國際投資有限公司 營業名稱 寶誠貨幣找換
HK,GREAT WALL MONEY EXCHANGE LIMITED,長城兌換有限公司
HK,GREATER BAY AREA EXCHANGE COMPANY LIMITED,大灣區兌匯有限公司
HK,GSI GLOBAL INVESTMENT &#38; REMITTANCE LIMITED,翹沃環球投資及承兌 (匯款) 有限公司
HK,GUAN YAN FEN,關艷芬 營業名稱 頌富找換店
HK,GUILLAR JOEL BARRET TRADING AS FILIPINO TREASURES STORE COMPANY,
HK,GUO SHAO LAN,郭少蘭 營業名稱 金興人民幣找換公司
HK,HAC REMIT LIMITED,
HK,HADSUND INTERNATIONAL TECHNOLOGY LIMITED,恆新國際科技有限公司
HK,HAI CLOUD EXCHANGE (HK) LIMITED,海雲匯(香港)有限公司
HK,HALLOW KING LIMITED TRADING AS CHUNG TONG MONEY EXCHANGE,中通有限公司 營業名稱 中通兌換
HK,HANG FUNG MONEY EXCHANGE COMPANY LIMITED,恒豐外幣滙款有限公司
HK,HANG SHUN MONEY EXCHANGE LIMITED,恆信找換店有限公司
HK,HARBOUR AND HILLS FINANCIAL SERVICES LIMITED,港山金融服務有限公司
HK,HARVEST SHARP LIMITED,盛焯有限公司
HK,HASHKEY FINANCE LIMITED,
HK,HATARI EXPRESS HOLDINGS LIMITED TRADING AS HATARI EXPRESS,
HK,HAU KIN,侯健 營業名稱 兆億外幣兑換
HK,"HENGFENGDA TECHNOLOGY CO.,LIMITED",恒豐達科技有限公司
HK,HENI-INDRAWATI TRADING AS WARUNG DAMPIT,恒美東南亞食品
HK,HK HENGYUAN LIMITED,香港恒遠有限公司
HK,HK PT DEVELOPMENT HOLDING LIMITED TRADING AS PO TUNG HANG,香港寶通發展控股有限公司 營業名稱 寶通行
HK,HKPINOY GLOBAL LIMITED,
HK,HKWEALTH CAPITAL LIMITED,港富資本有限公司
HK,HO CHAK MING TRADING AS CHUNG NGAN WUI REMINBI EXCHANGE CO.,何澤明 營業名稱 中銀滙人民幣找換行
HK,HO FAI LAN,何輝蘭 營業名稱 興源
HK,HO MAN YI TRADING AS FLOURISHING INTERNATIONAL DEVELOPMENT CO.,何文義 營業名稱 豐盛國際發展公司
HK,HO MING SHING TRADING AS CLOUDPOINT EXCHANGE,何銘誠 營業名稱 雲邦找換店
HK,HO YAN LOK TRADING AS SUN SHING MONEY EXCHANGE,何昕諾 營業名稱 新城找換店
HK,HOI WANG INVESTMENT TRADING LIMITED TRADING AS CHUNG YING REMINBI EXCHANGE CO.,凱宏投資貿易有限公司 營業名稱 中英人民幣找換行
HK,HON OI HING TRADING AS KAM WAN LOI ( RENMINBI EXCHANGE ),韓愛卿 營業名稱 金運來人民幣找換行
HK,HON OI MUI TRADING AS KAM WAN LOI REMINBI EXCHANGE,韓愛梅 營業名稱 金運來人民幣找換行
HK,HONESTY INVESTMENT LIMITED TRADING AS HONESTY MONEY EXCHANGE GROUP,誠譽投資管理有限公司 營業名稱 誠譽外匯兌換集團
HK,HONG KONG ACCESS FOREIGN EXCHANGE LIMITED,匯港通外幣找換有限公司
HK,HONG KONG CROSS-BORDER FOREIGN EXCHANGE TECHNOLOGY LIMITED,香港跨境外幣兌換科技有限公司
HK,HONG KONG EXCHANGE,
HK,HONG KONG FOREX LIMITED,
HK,HONG KONG MOBILE PAYMENT SERVICE COMPANY LIMITED,香港移動支付服務有限公司
HK,HONG KONG MONEY EXCHANGE LIMITED,信 亨(找 換)有 限 公 司
HK,HONGKONG CROWN EXCHANGE LIMITED,
HK,HONGKONG FORTUNETECH LIMITED,香港容融科技有限公司
HK,"HONGKONG FORWELL NETWORK TECHNOLOGY CO., LIMITED",香港富匯網絡科技有限公司
HK,HONGKONG IRAY TECHNOLOGY COMPANY LIMITED,香港艾瑞科技有限公司
HK,HONGKONG RUNDING INDUSTRY DEVELOPMENT GROUP LIMITED,香港潤鼎實業發展集團有限公司
HK,HOO JACKSON TRADING AS SHING KEE SOUTH EAST ASIA FOOD,何德成 營業名稱 成記東南亞食品
HK,"HSD INVESTMENT MANAGEMENT (HK) CO., LIMITED",興盛達投資管理(香港)有限公司
HK,HUGE LUCK APAC LIMITED TRADING AS HANG TONG MONEY EXCHANGE,鴻利亞太有限公司 營業名稱 亨通兌換
HK,HUI SAU WAN TRADING AS FUK WO FOREIGN EXCHANGE CO.,許秀雲 營業名稱 福和找換店
HK,HUI&#39;S BROTHERS CURRENCY EXCHANGE GROUP HOLDINGS LIMITED TRADING AS HUI&#39;S BROTHERS EXCHANGE AND REMITTANCE COMPANY,許氏兄弟找換集團控股有限公司 營業名稱 許氏兄弟找換匯款公司
HK,HUITONG TRADING (HONG KONG) LIMITED TRADING AS HUITONG MONEY EXCHANGE,滙通貿易(香港)有限公司 營業名稱 匯通找換
HK,HUNG KAI LING TRADING AS HING YIP MONEY EXCHANGE COMPANY,熊啟寧 營業名稱 興業外幣找換公司
HK,IC-EX LIMITED TRADING AS IC MONEY EXCHANGE,工商企業有限公司 營業名稱 工商找換匯款專門店
HK,ICE COMMERCIAL SERVICE HONG KONG PTY. LIMITED,艾西益商務服務(香港)有限公司
HK,IE TJIE SIAN TRADING AS TOKO SINTA,易菊璇 營業名稱 先達東南亞食品
HK,IFLARE HONG KONG LIMITED,
HK,INPAYMENTS LIMITED,
HK,INTERNATIONAL MARKETING GROUP (HONG KONG) LIMITED,
HK,INTERNATIONAL REPUTATION LIMITED,國際進譽有限公司
HK,INTERPAYMENT GROUP LIMITED,
HK,INWARD RISE INTERNATIONAL LIMITED,雋昇國際有限公司
HK,IP WAI FAN TRADING AS FAMOUS EXCHANGE,葉慧芬
HK,IP WAI HONG TRADING AS SUMBER REJEKI,葉惠康
HK,IPAYLINKS LIMITED,香港人人匯科技有限公司
HK,IU CHI NING TRADING AS CHUNG SHING MONEY EXCHANGE HONG,姚志寧 營業名稱 中盛人民幣找換行
HK,JAGOLINK LIMITED,杰滙有限公司
HK,JALANDONI MARIA RODELA L. TRADING AS MONEY GATEWAY,
HK,JARGON ASIA LIMITED,
HK,JC LIVING COMPANY LIMITED TRADING AS JC LIVING EXPRESS,智誠生活有限公司 營業名稱 智誠生活聯匯
HK,JD FINTECH INSIGHT (HONG KONG) LIMITED,京東金控茵賽(香港)有限公司
HK,"JD INVESTMENT (HK) CO., LIMITED",昭德投資(香港)有限公司
HK,JEM LEI DAT CO,鑫利達公司
HK,JERMICE ELENA C. TRADING AS JERMICE TRADING,
HK,JET PROFIT EXCHANGE LIMITED,快盈匯通找換有限公司
HK,JI XIANG EXCHANGE REMITTANCE LIMITED,吉祥找換匯款有限公司
HK,JILLION GROUP INTERNATIONAL TRADING LIMITED TRADING AS JILLION FOREX,億豐集團貿易有限公司 營業名稱 億豐找換
HK,JOINT PROFIT INC LIMITED,駿利行有限公司
HK,JOYFUL BILLION LIMITED,
HK,KA HING MONEY EXCHANGE COMPANY LIMITED,加興找換有限公司
HK,KA SHUN LIMITED,嘉順找換有限公司
HK,KA YING RMB EXCHANGE CO.,嘉盈人民幣找換店
HK,KAM FUNG (SINO) MONEY EXCHANGE LIMITED,金豐兌換(中港)有限公司
HK,KAM SO KAM,金素琴 營業名稱 香香人民幣兌換店
HK,KAS GROUP LIMITED,嘉盛集團有限公司
HK,KAYARAYA LIMITED,豐家有限公司
HK,KENNEDY TERENCE ALBERT TRADING AS CHUEN SHING FOREIGN EXCHANGE REMITTANCE CO,艾文倫 營業名稱 中盛外幣找換滙款公司
HK,KEY POWER INTERNATIONAL INVESTMENT LIMITED TRADING AS FUNG KEE FOREIGN EXCHANGE,啟能國際投資有限公司 營業名稱 豐記找換店
HK,KEYBASE GLOBAL (HK) LIMITED TRADING AS AP MART,
HK,KHAN WAQAS TRADING AS FRIENDLY REMITTANCE COMPANY,簡萬福
HK,KIN SHING GROUP LIMITED,金盛兌換匯款
HK,KIN SHING MONEY EXCHANGE CO LTD,堅成找換有限公司
HK,"KING BUSINESS MANAGEMENT CO., LIMITED",建盛業管理有限公司
